LS1_DriftRatio	LS2_DriftRatio	LS3_DriftRatio	LS4_DriftRatio
0.0075503	0.0162899	0.0223921	0.0284945
0.0048917	0.0090608	0.0130632	0.0163984
0.0077356	0.0191868	0.0289325	0.0377646
0.0087427	0.0119218	0.0151009	0.0174853
0.0089758	0.0160305	0.0213215	0.0250378
0.0123244	0.0173363	0.0214444	0.0247308
0.0071763	0.0128149	0.0167874	0.0199912
0.0071843	0.0086211	0.0116639	0.0132698
0.0147180	0.0285161	0.0401914	0.0504161
0.0084785	0.0108297	0.0134659	0.0153183
0.0120989	0.0328493	0.0500862	0.0648700
0.0100484	0.0174278	0.0242576	0.0304592
0.0116133	0.0231643	0.0326546	0.0419578
0.0083623	0.0103070	0.0129323	0.0142936
0.0075315	0.0127874	0.0174471	0.0212401
0.0061019	0.0154211	0.0231872	0.0295850
0.0121332	0.0179470	0.0221809	0.0247719
0.0071975	0.0133453	0.0172439	0.0199430
0.0100586	0.0174273	0.0237595	0.0291390
0.0054711	0.0083256	0.0107043	0.0126074
0.0144365	0.0183769	0.0236772	0.0267808
0.0070618	0.0188889	0.0295677	0.0378351
0.0068846	0.0116739	0.0152658	0.0184836
0.0077024	0.0162782	0.0237821	0.0308095
0.0122179	0.0223404	0.0311734	0.0394262
0.0056406	0.0117570	0.0165821	0.0203878
0.0081790	0.0099532	0.0150597	0.0166608
0.0129465	0.0285363	0.0423538	0.0538283
0.0097208	0.0169954	0.0227454	0.0279869
0.0109822	0.0209730	0.0279893	0.0333281
0.0063168	0.0104971	0.0126336	0.0133768
0.0080136	0.0126882	0.0166950	0.0199785
0.0180210	0.0252910	0.0319976	0.0381411
0.0093884	0.0153791	0.0202671	0.0243502
0.0141390	0.0257968	0.0356534	0.0451020
0.0158262	0.0274049	0.0356671	0.0416602
0.0062450	0.0119969	0.0151194	0.0175845
0.0113730	0.0174990	0.0235976	0.0286523
0.0080460	0.0154834	0.0213657	0.0254903
0.0101678	0.0199469	0.0288518	0.0365909
0.0110631	0.0175077	0.0227707	0.0270671
0.0123091	0.0175376	0.0233336	0.0276358
0.0070329	0.0119709	0.0159612	0.0194526
0.0183611	0.0299870	0.0394482	0.0476265
0.0074855	0.0147173	0.0215050	0.0269606
0.0071449	0.0133777	0.0191545	0.0246272
0.0058730	0.0132143	0.0197943	0.0258305
0.0071839	0.0150687	0.0206318	0.0251436
0.0137384	0.0244083	0.0334742	0.0410059
0.0081073	0.0215212	0.0316922	0.0400453
0.0096935	0.0152634	0.0212026	0.0261879
0.0085272	0.0166872	0.0218689	0.0253777
0.0096802	0.0217409	0.0321881	0.0430321
0.0076632	0.0142572	0.0199007	0.0243561
0.0094224	0.0203046	0.0310209	0.0407751
0.0048019	0.0079167	0.0094741	0.0105124
0.0079290	0.0221000	0.0322642	0.0425549
0.0082272	0.0168951	0.0235797	0.0295297
0.0091422	0.0190924	0.0286172	0.0374618
0.0064150	0.0137552	0.0201702	0.0263385
0.0108670	0.0217846	0.0314890	0.0400814
0.0056778	0.0115091	0.0154989	0.0187214
0.0080969	0.0112911	0.0135939	0.0150796
0.0038218	0.0055415	0.0068792	0.0080257
0.0148500	0.0252480	0.0341819	0.0422792
0.0133609	0.0234511	0.0289487	0.0324977
0.0057849	0.0084364	0.0098826	0.0113289
0.0067906	0.0132039	0.0188626	0.0236160
0.0117254	0.0228565	0.0325221	0.0412764
0.0118591	0.0157427	0.0207013	0.0237875
0.0125517	0.0202327	0.0249161	0.0286630
0.0146867	0.0219288	0.0279049	0.0339821
0.0040053	0.0072095	0.0089718	0.0104137
0.0060358	0.0106114	0.0141160	0.0172313
0.0063199	0.0097706	0.0151212	0.0188046
0.0128716	0.0215931	0.0252621	0.0270064
0.0080235	0.0141532	0.0178909	0.0206318
0.0094983	0.0154923	0.0198726	0.0232845
0.0124921	0.0166283	0.0210151	0.0239814
0.0074808	0.0165093	0.0180570	0.0190889
0.0081341	0.0152092	0.0214181	0.0267606
0.0102362	0.0189228	0.0262009	0.0323050
0.0113029	0.0164482	0.0199065	0.0221840
0.0109137	0.0211095	0.0330284	0.0356133
0.0094165	0.0222572	0.0333305	0.0424433
